,Метка часу,Где вы учитесь?,В каком вы классе?,Какие предметы вы планируете сдавать?,На какой балл по экзу ты реально рассчитываешь?,Когда ты впервые задумался о том чтобы пойти на курсы/взять репета?,Когда ты по итогу записался на курсы / взял репета?,По каким предметам ты взял репета?
210,19.01.2026 22:44:17,БГУ биофак,11.0,"Беларусский, Биология, Химия",80-90,Вторая половина 10го класса,Вторая половина 10го класса,"химия,биология "
211,19.01.2026 22:46:25,Минский государственный областной лицей ,11.0,"Математика, Физика, Русский",80-90,Первая половина 11го класса,Вторая половина 11го класса,"Русский, математика, физика "
212,19.01.2026 23:44:38,В школе,10.0,"Русский, Иностранный язык, История",90+,Первая половина 10го класса,Первая половина 10го класса,По всем
213,19.01.2026 23:46:35,МГОЛ номер 1 г. Могилева,11.0,"Математика, Физика, Русский",90+,Первая половина 10го класса,Первая половина 10го класса,физика
214,20.01.2026 0:27:36,.,11.0,"Беларусский, Биология, Химия",90+,Первая половина 10го класса,Первая половина 10го класса,
215,20.01.2026 0:46:51,средняя школа 72 г. гомеля,11.0,"Математика, Физика, Русский",80-90,Первая половина 10го класса,Первая половина 11го класса,русский
216,20.01.2026 9:34:33,Брестский государственный лицей имени П.М.Машерова,11.0,"Беларусский, Биология, Химия",80-90,Я считаю что сдам своими силами,,Не брал
217,20.01.2026 11:30:59,В БГУ,11.0,"Математика, Физика, Русский",80-90,Вторая половина 10го класса,,
218,20.01.2026 12:57:16,Гимназия №2 г. Витебска,11.0,"Русский, Иностранный язык, История",80-90,Первая половина 11го класса,Первая половина 11го класса,русский и история 
219,20.01.2026 14:06:14,ГУО «Средняя школа №40 г.Могилёва»,11.0,"Математика, Физика, Русский",90+,Первая половина 10го класса,Первая половина 10го класса,"Физика, математика"
220,20.01.2026 15:16:36,"БДУ, ФПМІ",11.0,"Математика, Физика, Беларусский",90+,Первая половина 11го класса,Вторая половина 11го класса,Фізіка
221,20.01.2026 15:24:08,Сш 31 г Гродно,11.0,"Математика, Физика, Русский",90+,Вторая половина 10го класса,Вторая половина 10го класса,Физика математика русский язык 
222,20.01.2026 15:26:14,Гимназия 39,11.0,"Математика, Физика, Русский",90+,Первая половина 10го класса,Первая половина 10го класса,"Физика, математика, русский"
223,20.01.2026 15:28:20,Гимназия,11.0,"Математика, Физика, Беларусский",90+,Первая половина 11го класса,Думаю записаться на интенсив перед экзами (у многих курсов есть возможность записаться в конце типа взять только весну или только май или вообще только пару недель до экзов),
224,20.01.2026 15:29:51,Ліцэй БДУ ,11.0,"Математика, Беларусский",80-90,Я считаю что сдам своими силами,,
225,20.01.2026 15:30:19,Гімназія #4,11.0,"Математика, Физика, Беларусский",90+,Я считаю что сдам своими силами,Думаю записаться на интенсив перед экзами (у многих курсов есть возможность записаться в конце типа взять только весну или только май или вообще только пару недель до экзов),
226,20.01.2026 15:31:24,"ГУО ""Гимназия 2 г.Витебска""",10.0,"Русский, Обществоведение, История",90+,Я считаю что сдам своими силами,,
227,20.01.2026 15:34:01,БГУ ФПМИ,11.0,"Математика, Физика, Беларусский",90+,Вторая половина 10го класса,Первая половина 11го класса,"математика, физика "
228,20.01.2026 15:37:22,гимназия 20 г Минск,11.0,"Математика, Физика, Беларусский",80-90,Первая половина 10го класса,Первая половина 10го класса,"математика, физика, бел яз "
229,20.01.2026 15:37:32,несвижская гимназия ,10.0,"Математика, Физика, Русский",90+,Первая половина 10го класса,Первая половина 10го класса,
230,20.01.2026 15:39:06,Могилёвский государственный областной лицей номер 1,11.0,"Математика, Физика, Русский",90+,Я считаю что сдам своими силами,,
231,20.01.2026 15:41:01,гимназия г светлогорска ,11.0,"Математика, Физика, Русский",90+,Вторая половина 10го класса,Первая половина 11го класса,"русский, физика"
232,20.01.2026 15:41:28,вуз,11.0,"Русский, Иностранный язык, История",90+,Вторая половина 10го класса,Вторая половина 10го класса,"англ яз , остальное курсы"
233,20.01.2026 15:41:46,гимка,11.0,"Математика, Физика, Русский",90+,Первая половина 11го класса,Первая половина 11го класса,"матем, физика, рускяз"
234,20.01.2026 15:41:52,Гомель,11.0,"Математика, Русский, Иностранный язык",90+,Первая половина 10го класса,Первая половина 10го класса,"англ, матем (+ факультатив в шк по рус яз)"
235,20.01.2026 15:42:07,юфпми бгу,11.0,"Математика, Русский",90+,Вторая половина 11го класса,Вторая половина 11го класса,по русскому
236,20.01.2026 15:42:19,БГУ ФПМИ,11.0,"Математика, Физика, Русский",90+,Первая половина 11го класса,Вторая половина 11го класса,"русский, физика"
237,20.01.2026 15:44:12,"ГУО ""Средняя школа №56 г.Минска имени В.И.Игнатенко""",11.0,"Беларусский, История",70-80,Я считаю что сдам своими силами,,
238,20.01.2026 15:49:59,гимназия в минске,11.0,"Математика, Русский, Иностранный язык",80-90,Вторая половина 10го класса,Первая половина 11го класса,"математика, пошла на курсы. в остальных предметах чувствую уверенность при самостоятельной подготовке"
239,20.01.2026 15:58:32,ГУО «Гимназия №3 г. Солигорска»,11.0,"Русский, Иностранный язык, Обществоведение",90+,Первая половина 10го класса,Вторая половина 10го класса,"Общество, английский"
240,20.01.2026 15:58:53,БГУ,11.0,"Математика, Физика, Русский",80-90,Вторая половина 10го класса,Первая половина 11го класса,"По всем, какие собирался сдавать"
241,20.01.2026 16:02:45,БГУ ФПМИ,11.0,"Математика, Физика, Русский",90+,Первая половина 11го класса,Вторая половина 11го класса,"физика, русский"
242,20.01.2026 16:03:41,Гимназия 27 г. Минска ,11.0,"Математика, Русский, Иностранный язык",80-90,Первая половина 11го класса,Первая половина 11го класса,"По математике и английскому личный репет, по русскому курсы "
243,20.01.2026 16:03:43,Школа 162 минск,11.0,"Математика, Физика, Русский",80-90,Первая половина 10го класса,Первая половина 10го класса,Все
244,20.01.2026 16:04:07,Гимназия 27 г. Минска,11.0,"Математика, Физика, Русский",90+,Вторая половина 10го класса,Первая половина 11го класса,"Физика, остальное планировала своими силами и буду сдавать сама"
245,20.01.2026 16:04:14,фпми,11.0,"Математика, Русский, Иностранный язык",90+,Вторая половина 10го класса,Первая половина 11го класса,Математика
246,20.01.2026 16:04:35,Училась в гимназии 56 г. Минска,11.0,"Математика, Физика, Русский",70-80,Первая половина 10го класса,Первая половина 10го класса,"Физика 10 класс, русский 11 класс"
247,20.01.2026 16:06:10,бгу,11.0,"Русский, Иностранный язык, История",90+,Я считаю что сдам своими силами,,-
248,20.01.2026 16:06:17,Гимназия 7,11.0,"Математика, Физика, Русский",90+,Первая половина 10го класса,Первая половина 10го класса,Все 3
249,20.01.2026 16:06:44,бгу,11.0,"Математика, Физика, Русский",90+,Первая половина 11го класса,Первая половина 11го класса,физика
250,20.01.2026 16:06:46,Школа,10.0,"Математика, Физика, Русский",70-80,Я считаю что сдам своими силами,Думаю записаться на интенсив перед экзами (у многих курсов есть возможность записаться в конце типа взять только весну или только май или вообще только пару недель до экзов),
251,20.01.2026 16:10:53,Бгу,11.0,"Математика, Физика, Русский",90+,Вторая половина 10го класса,Вторая половина 10го класса,Всем что сдаю 
252,20.01.2026 16:10:59,СШ №5 г. Вилейки,11.0,"Беларусский, История",80-90,Первая половина 10го класса,Вторая половина 11го класса,История
253,20.01.2026 16:12:14,Средняя школа №165,11.0,"Математика, Физика, Русский",90+,Первая половина 11го класса,Первая половина 11го класса,"Физика, русский язык "
254,20.01.2026 16:13:01,Гимназия ,11.0,"Русский, Обществоведение, История",70-80,Первая половина 10го класса,Вторая половина 10го класса,"История, русский "
255,20.01.2026 16:13:07,в школе,11.0,"Обществоведение, История",90+,Вторая половина 10го класса,Первая половина 11го класса,по всем
256,20.01.2026 16:13:26,Гимназия 4,11.0,"Математика, Физика, Беларусский",90+,Я считаю что сдам своими силами,,
257,20.01.2026 16:13:27,БГУ,11.0,"Русский, История",70-80,Первая половина 11го класса,Вторая половина 11го класса,История 
258,20.01.2026 16:13:48,Средняя школа (Минск),11.0,"Математика, Беларусский, Химия",90+,Я считаю что сдам своими силами,,
259,20.01.2026 16:14:28,Гимназия ,11.0,"Математика, Русский, Иностранный язык",80-90,Первая половина 11го класса,Первая половина 11го класса,"Матем, русский, англ"
260,20.01.2026 16:18:48,29 Брест ,11.0,"Математика, Физика, Беларусский",80-90,Первая половина 10го класса,Первая половина 10го класса,"По всем , что сдаю "
261,20.01.2026 16:19:34,БДУ,11.0,"Беларусский, История",90+,Я считаю что сдам своими силами,,Без аніякіх
262,20.01.2026 16:21:58,БДУ,11.0,"Беларусский, Обществоведение, История",90+,Я считаю что сдам своими силами,,–
263,20.01.2026 16:22:20,Школа,11.0,"Русский, Иностранный язык, Обществоведение",80-90,Первая половина 10го класса,Вторая половина 10го класса,По всем
264,20.01.2026 16:23:40,Минск,11.0,"Математика, Русский, Иностранный язык",80-90,Вторая половина 10го класса,Первая половина 11го класса,По двум
265,20.01.2026 16:25:02,бгу,11.0,"Русский, Иностранный язык, История",90+,Вторая половина 10го класса,Первая половина 11го класса,сентябрь 11 класса англ. история второе полугодие онлайн курс. русским всегда периодически занималась 
266,20.01.2026 16:32:22,Бгу фпми,11.0,"Математика, Физика, Беларусский",90+,Первая половина 11го класса,Первая половина 11го класса,"Белорусский во второй половине 11 класса и физика в первой половине 11 класса, все сдала 98+. Никакие курсы я не посещала"
267,20.01.2026 16:41:26,Лицей БГУ,10.0,"Математика, Химия",80-90,Я считаю что сдам своими силами,,"Ни по каким, математику планирую сдать собственными силами, химию через олимпиады автомат "
268,20.01.2026 16:45:18,школа,11.0,"Русский, История",90+,Я считаю что сдам своими силами,,
269,20.01.2026 16:51:59,Лицей номер 1 им. А. С. Пушкина г. Бреста,11.0,"Математика, Физика",90+,Я считаю что сдам своими силами,,
270,20.01.2026 16:53:06,Лицей номер 1 имени А. С. Пушкина г. Бреста,11.0,"Математика, Физика, Беларусский",90+,Я считаю что сдам своими силами,,
271,20.01.2026 16:55:34,БГУ,11.0,"Русский, Обществоведение, История",90+,Первая половина 10го класса,Вторая половина 10го класса,Русский
272,20.01.2026 17:05:33,Гимназия 7,11.0,"Русский, Иностранный язык, История",90+,Я считаю что сдам своими силами,Думаю записаться на интенсив перед экзами (у многих курсов есть возможность записаться в конце типа взять только весну или только май или вообще только пару недель до экзов),"Русский 7 дней интенсив, история 2 дня интенсив"
273,20.01.2026 17:13:07,"СШ 217, Мінск",11.0,"Математика, Физика, Беларусский",90+,Первая половина 10го класса,Первая половина 10го класса,Мат Фіз Бел
274,20.01.2026 17:15:17,Брест средняя школа 16,11.0,"Математика, Физика, Русский",90+,Вторая половина 10го класса,Первая половина 11го класса,"Математика, физика, русский"
275,20.01.2026 17:17:58,Бгу ,11.0,"Русский, Биология, Химия",80-90,Первая половина 10го класса,Первая половина 10го класса,Все
276,20.01.2026 17:18:55,41 гимназия,11.0,"Русский, Иностранный язык, Обществоведение",70-80,Вторая половина 10го класса,Первая половина 11го класса,всем
277,20.01.2026 17:40:17,БГУ,11.0,"Русский, Иностранный язык, История",80-90,Я считаю что сдам своими силами,Думаю записаться на интенсив перед экзами (у многих курсов есть возможность записаться в конце типа взять только весну или только май или вообще только пару недель до экзов),"не брала репета и не записывалась на курсы, но такого варианта почему-то нет в предыдущем вопросе"
278,20.01.2026 17:46:28,Школа,11.0,"Русский, История",70-80,Вторая половина 10го класса,Вторая половина 11го класса,
279,20.01.2026 17:53:32,-,11.0,"Беларусский, История",70-80,Первая половина 11го класса,Первая половина 11го класса,История Беларуси
280,20.01.2026 17:58:19,62 школа г.Минска,11.0,"Русский, Обществоведение, История",80-90,Первая половина 10го класса,Первая половина 11го класса,"Русский, история, общество + п/о на творческий экзамен"
281,20.01.2026 18:14:00,бгу,11.0,"Беларусский, Иностранный язык, История",80-90,Вторая половина 10го класса,Вторая половина 11го класса,
282,20.01.2026 18:15:08,ГУО СШ 29 г. Бреста,11.0,"Математика, Физика, Русский",90+,Первая половина 11го класса,Первая половина 11го класса,физика с 9 класса все остальное с лета-начала 11 класса
283,20.01.2026 18:33:07,Школа ,11.0,"Русский, Иностранный язык, Обществоведение",90+,Вторая половина 10го класса,Вторая половина 10го класса,Английский/русский 
284,20.01.2026 18:43:18,гимназия,11.0,"Математика, Физика, Русский",80-90,Вторая половина 11го класса,Первая половина 11го класса,русский язык
285,20.01.2026 19:10:24,бгу рфикт,11.0,"Математика, Физика, Русский",90+,Первая половина 11го класса,Первая половина 11го класса,по всем
286,20.01.2026 19:10:31,Школа ,11.0,"Русский, Биология, Химия",90+,Первая половина 10го класса,Первая половина 10го класса,"Химия, биология, русский "
287,20.01.2026 19:11:42,СШ №17 г. Лиды,11.0,"Русский, Биология, Химия",90+,Первая половина 10го класса,Первая половина 10го класса,По химии и биологии 
288,20.01.2026 19:11:59,Гродненский государственный медицинский университет ,11.0,"Русский, Биология, Химия",70-80,Первая половина 10го класса,Первая половина 10го класса,"Химия, биология"
289,20.01.2026 19:12:37,сш 27 Брест,11.0,"Русский, Биология, Химия",80-90,Первая половина 10го класса,Первая половина 10го класса,химия биология 
290,20.01.2026 19:13:49,СШ 40 г.Гродно ,11.0,"Русский, Биология, Химия",90+,Первая половина 10го класса,Первая половина 10го класса,"Химия, биология "
291,20.01.2026 19:14:22,Сш 39,11.0,"Русский, Биология, Химия",80-90,Первая половина 11го класса,Первая половина 11го класса,Биология химия 
292,20.01.2026 19:16:50,5 гимназия,11.0,"Русский, Биология, Химия",До 70,Первая половина 11го класса,Первая половина 11го класса,"Химия, биология "
293,20.01.2026 19:19:07,3 гимназия г. гродно,11.0,"Русский, Биология, Химия",80-90,Вторая половина 10го класса,Вторая половина 10го класса,химия и биология
294,20.01.2026 19:19:58,Сш 8 имени В. Ф. Казакова город Лида,11.0,"Беларусский, Биология, Химия",До 70,Я считаю что сдам своими силами,Думаю записаться на интенсив перед экзами (у многих курсов есть возможность записаться в конце типа взять только весну или только май или вообще только пару недель до экзов),
295,20.01.2026 19:26:53,ГрГМУ,11.0,"Русский, Биология, Химия",70-80,Первая половина 10го класса,Первая половина 11го класса,биология
296,20.01.2026 19:27:43,вельмі сярэдняя школа,10.0,"Математика, Физика, Беларусский",90+,Первая половина 10го класса,Вторая половина 10го класса,фізіка
297,20.01.2026 19:37:52,ГрГМУ,11.0,"Беларусский, Биология, Химия",90+,Первая половина 10го класса,Первая половина 10го класса,био/хим
298,20.01.2026 19:43:58,Филфак БГУ,11.0,"Русский, Иностранный язык, Обществоведение",90+,Вторая половина 11го класса,Вторая половина 11го класса,Общество
299,20.01.2026 19:54:50,ГрГМУ,11.0,"Русский, Биология, Химия",70-80,Вторая половина 10го класса,Вторая половина 10го класса,"Химия, биология"
300,20.01.2026 20:00:15,сш №11 г. Гомель,11.0,"Математика, Физика, Русский",90+,Первая половина 11го класса,Первая половина 11го класса,"математика, русский язык"
301,20.01.2026 20:05:10,Филфак,11.0,"Беларусский, Иностранный язык, История",70-80,Первая половина 11го класса,Первая половина 11го класса,"Англ, история"
302,20.01.2026 20:06:25,Сш 3 г.ганцевичи ,11.0,"Математика, Физика, Беларусский",80-90,Первая половина 10го класса,Первая половина 11го класса,Матем бел яз физика 
303,20.01.2026 20:43:12,Средняя школа,11.0,"Русский, Иностранный язык, Обществоведение",90+,Вторая половина 10го класса,Первая половина 11го класса,Английский язык
304,20.01.2026 20:44:10,БГУ,11.0,"Русский, Иностранный язык, Обществоведение",90+,Первая половина 10го класса,Первая половина 10го класса,Русский язык
305,20.01.2026 21:10:04,Тарновская СШ,11.0,"Беларусский, Биология, Химия",80-90,Первая половина 10го класса,,"химия,биология, сейчас еще думаю на тем чтобы по белорусскому тоже найти "
306,20.01.2026 21:10:21,Вуз,11.0,"Русский, Обществоведение, История",90+,Первая половина 10го класса,Первая половина 11го класса,По всем
307,20.01.2026 21:33:45,11 класм,11.0,"Беларусский, Биология, Химия",70-80,Вторая половина 10го класса,Первая половина 11го класса,"Химия, биология "
308,20.01.2026 21:39:30,"Гимназия 7, Минск",11.0,"Русский, Обществоведение, История",90+,Первая половина 11го класса,Первая половина 11го класса,история и обществоведение в одном
309,20.01.2026 21:53:28,лицей БГУ,11.0,"Математика, Физика, Беларусский",90+,Я считаю что сдам своими силами,,"не брала репетитора, однако в лицее были специальные занятия для подготовки к цэ/цт, которые были в 10 классе по математике и физике, а с 11 класса по всем предметам "
310,20.01.2026 22:26:48,ГрГМУ,11.0,"Биология, Химия",90+,Первая половина 10го класса,Первая половина 10го класса,"Химия,  биология,  русский "
311,21.01.2026 0:08:33,ГрГМУ,11.0,"Русский, Биология, Химия",80-90,Я считаю что сдам своими силами,Думаю записаться на интенсив перед экзами (у многих курсов есть возможность записаться в конце типа взять только весну или только май или вообще только пару недель до экзов),Не было репетов
312,21.01.2026 0:40:49,ГрГМУ,11.0,"Беларусский, Биология, Химия",90+,Первая половина 10го класса,Первая половина 10го класса,"Математика , Биология , Химия и Беларусский"
313,21.01.2026 4:02:17,"БГУ, филфак",11.0,"Беларусский, Иностранный язык, История",90+,Первая половина 10го класса,Первая половина 10го класса,"История, белорусский, китайский"
314,21.01.2026 12:02:04,"Средняя школа 2, г.Молодечно",11.0,"Беларусский, Биология, Химия",90+,Первая половина 10го класса,Первая половина 10го класса,"Биология, химия "
315,21.01.2026 13:15:23,Лицей БНТУ,11.0,"Математика, Физика, Русский",90+,Первая половина 10го класса,Первая половина 10го класса,"Физика, математика, русский"
316,21.01.2026 14:11:13,Средняя школа номер 2 город каменец ,11.0,"Математика, Физика, Русский",90+,Первая половина 11го класса,Первая половина 11го класса,"Физика, математика"
317,21.01.2026 22:28:38,Средняя школа,11.0,"Математика, Физика, Русский",90+,Первая половина 10го класса,Первая половина 10го класса,"Физика, русский язык, математика"
318,23.01.2026 6:32:46,Гимназия ,11.0,"Математика, Беларусский, Иностранный язык",90+,Я считаю что сдам своими силами,Думаю записаться на интенсив перед экзами (у многих курсов есть возможность записаться в конце типа взять только весну или только май или вообще только пару недель до экзов),-
