,Метка часу,Где вы учитесь?,В каком вы классе?,Какие предметы вы планируете сдавать?,На какой балл по экзу ты реально рассчитываешь?,Когда ты впервые задумался о том чтобы пойти на курсы/взять репета?,Когда ты по итогу записался на курсы / взял репета?,По каким предметам ты взял репета?
86,17.01.2026 9:24:43,Лбгу,11.0,"Математика, Физика, Русский",80-90,Я считаю что сдам своими силами,Думай записаться на интенсив перед экзами (у многих курсов есть возможность записаться в конце типа взять только весну или только май или вообще только пару недель до экзов),Ноль😔
87,17.01.2026 9:24:52,в средней шк,11.0,"Русский, Биология, Химия",90+,Я считаю что сдам своими силами,,
88,17.01.2026 9:26:31,МГОЛ3 ,11.0,"Беларусский, Биология, Истрия",80-90,Я считаю что сдам своими силами,,
89,17.01.2026 9:27:17,Гомельский государственный областной лицей,11.0,"Беларусский, Биология, Химия",90+,Первая половина 10го класса,Первая половина 10го класса,"Химия, белорусский "
90,17.01.2026 10:04:11,ГУО «Гимназия №1 г. Витебска имени Ж. И. Алферова»,11.0,"Русский, Биология, Химия",90+,Вторая половина 10го класса,Первая половина 11го класса,"русский язык, химия "
91,17.01.2026 10:14:22,Гимназия 1 Витебск,11.0,"Русский, Биология, Химия",90+,Первая половина 10го класса,Первая половина 10го класса,"Химия, русский"
92,17.01.2026 12:19:00,Лицей ,11.0,"Русский, Обществоведение",90+,Я считаю что сдам своими силами,Думай записаться на интенсив перед экзами (у многих курсов есть возможность записаться в конце типа взять только весну или только май или вообще только пару недель до экзов),Нет 
93,17.01.2026 12:27:10,Университет ,11.0,"Русский, Иностранный язык, Истрия",До 70,Я считаю что сдам своими силами,,
94,17.01.2026 12:27:48,Лицей БГУ,11.0,"Русский, Биология, Химия",80-90,Вторая половина 10го класса,Первая половина 11го класса,"курсы по химии в университете, факультатив по биологии в лицее "
95,17.01.2026 12:30:30,В средней школе,11.0,"Беларусский, Биология, Химия",90+,Первая половина 10го класса,Первая половина 10го класса,Химия
96,17.01.2026 12:38:25,Средняя школа 30 города минска,11.0,"Русский, Иностранный язык, Обществоведение",70-80,Вторая половина 10го класса,Первая половина 11го класса,"Русский курсы, обществоведение самостоятельне изучение с другом, знающим обществоведение, английский разговорные курсы"
97,17.01.2026 12:40:04,Саш n30 г. Минск,11.0,"Русский, Истрия",90+,Первая половина 11го класса,Первая половина 11го класса,Русский 
98,17.01.2026 12:43:58,сярэдняя школа 30,11.0,"Беларусский, Обществоведение, Истрия",90+,Я считаю что сдам своими силами,,
99,17.01.2026 12:47:49,Гимназия 25,11.0,"Русский, Иностранный язык, Обществоведение",90+,Вторая половина 10го класса,Вторая половина 10го класса,"общество, русский "
100,17.01.2026 13:00:19,125,11.0,"Математика, Физика, Русский",До 70,Первая половина 10го класса,Первая половина 10го класса,"Физика, математика "
101,17.01.2026 13:09:26,Лицей БГУ,11.0,"Русский, Биология, Химия",90+,Я считаю что сдам своими силами,,
102,17.01.2026 13:42:32,29 гимназия,11.0,"Русский, Иностранный язык, Обществоведение",90+,Вторая половина 10го класса,Первая половина 11го класса,"общество, русский, английский "
103,17.01.2026 13:52:51,.,11.0,"Математика, Беларусский, Иностранный язык",80-90,Первая половина 10го класса,Первая половина 10го класса,"бел, матем, англ"
104,17.01.2026 14:03:38,В 62 школе,11.0,"Русский, Иностранный язык, История",70-80,Первая половина 11го класса,Первая половина 11го класса,История и английский 
105,17.01.2026 14:07:26,Гимназия /8 г. Витебска ,11.0,"Русский, Иностранный язык, История",90+,Вторая половина 10го класса,Вторая половина 10го класса,"История, Русский "
106,17.01.2026 14:22:05,СШ №30 г.Минска,11.0,"Математика, Физика",До 70,Первая половина 10го класса,Первая половина 10го класса,
107,17.01.2026 14:28:07,Школа №30,11.0,"Русский, История",70-80,Вторая половина 10го класса,Первая половина 11го класса,История
108,17.01.2026 14:40:43,Гимназия 17,11.0,"Математика, Физика, Русский",90+,Первая половина 10го класса,Первая половина 10го класса,Математика русский физика
109,17.01.2026 14:44:50,Лицей бгу,11.0,"Беларусский, Иностранный язык, Обществоведение",90+,Первая половина 11го класса,Первая половина 11го класса,"Беларусский, общество "
110,17.01.2026 15:05:30,"СШ №6, г. Жодино",11.0,"Математика, Физика, Русский",80-90,Первая половина 10го класса,Первая половина 10го класса,"физика, математика"
111,17.01.2026 15:13:02,сш 20,11.0,"Математика, Физика, Русский",80-90,Первая половина 11го класса,Первая половина 11го класса,физика и русский
112,17.01.2026 17:06:56,Ліцэй БДУ ,11.0,"Беларусский, Обществоведение, История",90+,Я считаю что сдам своими силами,Думаю записаться на интенсив перед экзами (у многих курсов есть возможность записаться в конце типа взять только весну или только май или вообще только пару недель до экзов),Аніякія 
113,17.01.2026 17:47:05,Средняя школа №30,11.0,"Беларусский, Иностранный язык, Обществоведение",90+,Вторая половина 10го класса,Первая половина 11го класса,"Обществоведение, иностранный язык "
114,17.01.2026 19:36:30,Гимназия 41,11.0,"Математика, Физика, Русский",90+,Я считаю что сдам своими силами,,
115,17.01.2026 20:34:32,гимназия 29,11.0,"Математика, Физика, Русский",90+,Первая половина 11го класса,Первая половина 11го класса,матем русский
116,17.01.2026 20:36:00,Лицей БГУ,11.0,"Математика, Физика, Русский",90+,Я считаю что сдам своими силами,,
117,17.01.2026 20:36:46,Бгу,11.0,"Математика, Физика, Русский",90+,Вторая половина 10го класса,Первая половина 11го класса,"Матем, физика, русский "
118,17.01.2026 20:39:03,Гимназия,11.0,"Математика, Физика, Русский",90+,Вторая половина 10го класса,Вторая половина 10го класса,Физика
119,17.01.2026 20:39:48,56 гимка гомеля,11.0,"Математика, Физика, Русский",90+,Я считаю что сдам своими силами,,Никаким
120,17.01.2026 20:40:56,БГУ,11.0,"Русский, Иностранный язык, Обществоведение",80-90,Вторая половина 11го класса,,
121,17.01.2026 20:42:04,Вуз,11.0,"Математика, Русский, Иностранный язык",80-90,Вторая половина 10го класса,Первая половина 11го класса,Русский 
